City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
457,Catia La Mar,VE,81.9,scattered clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
458,Baker City,US,71.6,haze,44.7749,-117.8344,Bridge Street Inn
460,Gayeri,BF,78.51,overcast clouds,12.6497,0.4931,
461,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
465,Yeppoon,AU,71.38,clear sky,-23.1333,150.7333,Villa Mar Colina
466,Eldorado,BR,70.07,overcast clouds,-23.7869,-54.2836,Villa Verde Hotel
468,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
469,Redmond,US,76.86,clear sky,47.674,-122.1215,Seattle Marriott Redmond
471,Nouadhibou,MR,70.52,clear sky,20.931,-17.0347,El Medina
472,Tautira,PF,77.09,light rain,-17.7333,-149.15,Pension Oaoa
473,Natal,BR,79.45,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
477,Santa Cruz,BO,81.86,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
478,Mugango,TZ,73.4,broken clouds,-1.6833,33.7,
481,Abnub,EG,73.09,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
482,Beatrice,US,72.18,clear sky,40.2681,-96.747,Victorian Inn Beatrice
486,Mwaya,TZ,72.97,clear sky,-9.55,33.95,
487,Bintulu,MY,74.55,overcast clouds,3.1667,113.0333,900 Boutique INN
490,Fukue,JP,70.83,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
492,Agadez,NE,79.02,clear sky,19.75,10.25,
494,Vicksburg,US,83.93,clear sky,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
498,San Pedro,PH,80.35,overcast clouds,14.35,121.0167,Palines Apartment and Guesthouse
500,Canton,CN,73.35,clear sky,23.1167,113.25,Shangjiuwan Hotel
503,Mae Ramat,TH,71.1,overcast clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
504,Sorong,ID,79.7,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
506,Koungheul,SN,84.58,overcast clouds,13.9833,-14.8,hotel le PARADIS
507,Half Moon Bay,US,78.1,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
509,Buala,SB,82.0,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
513,Takoradi,GH,76.39,light rain,4.8845,-1.7554,Raybow International Hotel
516,Salaga,GH,74.64,overcast clouds,8.5508,-0.5188,Bore Nada Guest House
517,Nilanga,IN,71.17,overcast clouds,18.1,76.7667,Shruti nilanga rice and vada pav and tea centre
518,Keti Bandar,PK,80.92,clear sky,24.1447,67.4497,Haji laloo memon house
521,Sassandra,CI,74.84,light rain,4.95,-6.0833,la terrasse
522,San-Pedro,CI,75.29,light rain,4.7485,-6.6363,Hotel Maria
525,Santa Rosa,PH,81.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
526,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
534,Hobyo,SO,77.81,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
535,Tiruppuvanam,IN,80.47,light rain,9.8333,78.2667,Velammal Lodge
536,Wewak,PG,79.68,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
537,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
538,Tucurui,BR,83.01,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
543,Hermiston,US,80.82,clear sky,45.8404,-119.2895,Oxford Suites Hermiston
549,Buraydah,SA,77.14,clear sky,26.326,43.975,Mövenpick Qassim
551,Paragominas,BR,80.6,overcast clouds,-2.9667,-47.4833,INOVA
553,Robertson,US,76.39,clear sky,36.5167,-86.8667,Hampton Inn Springfield
556,Giddarbaha,IN,70.66,clear sky,30.2,74.6667,panchayti dharamshala gidderbaha
560,Matadi,CD,78.73,light rain,-5.8167,13.45,Hotel Vivi Palace
562,Kita,ML,80.58,broken clouds,13.0349,-9.4895,Hôtel Chat Rouge
563,Come,BJ,76.89,light rain,6.4076,1.882,Groupe Ecart Hotel
565,Vallenar,CL,76.62,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
567,Soyo,AO,77.27,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
572,Trat,TH,76.87,overcast clouds,12.5,102.5,สวนหนิง-อัศ
574,Sao Filipe,CV,77.94,broken clouds,14.8961,-24.4956,Hotel Xaguate
575,Banjar,ID,76.96,scattered clouds,-8.19,114.9675,The Hamsa Resort
577,Rock Sound,BS,82.2,broken clouds,24.9,-76.2,Pink Corral Bay Property
584,Manali,IN,78.89,scattered clouds,13.1667,80.2667,Sarathy Lodge
587,Umm Lajj,SA,81.54,clear sky,25.0213,37.2685,Moon light Furnished Units
589,Minab,IR,80.26,clear sky,27.1467,57.0801,Bam campground
590,Kaliua,TZ,70.97,clear sky,-5.0606,31.7936,Millennium Complex
591,Surt,LY,75.52,few clouds,31.2089,16.5887,فندق المدينة
592,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
595,Wilmington,US,73.31,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
598,Labuhan,ID,78.19,light rain,-6.8844,112.2051,DoubleFAG
605,Kembe,CF,71.38,overcast clouds,4.6228,21.8865,
606,Avera,US,76.55,clear sky,33.194,-82.5271,
610,Quang Ngai,VN,72.97,overcast clouds,15.1167,108.8,Central Hotel
617,Sotouboua,TG,72.63,broken clouds,8.5667,0.9833,Auberge Médina
620,Phan Thiet,VN,72.32,scattered clouds,10.9333,108.1,Hotel Saigon-PT
624,Darab,IR,70.75,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
626,Los Llanos De Aridane,ES,70.12,broken clouds,28.6585,-17.9182,Valle Aridane
632,Puerto Penasco,MX,84.9,overcast clouds,31.3167,-113.5333,Playa Bonita Resort
638,Kualakapuas,ID,74.08,light rain,-3.0091,114.3876,Guest House Izonk
639,Kotri,PK,82.06,clear sky,25.366,68.3122,Drivers Running Room
640,Moroni,KM,74.46,light rain,-11.7022,43.2551,Hotel Les Arcades
641,Nhulunbuy,AU,77.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
643,Bubaque,GW,81.81,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
644,Brigantine,US,71.01,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
647,Riyadh,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
651,Am Timan,TD,77.5,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
652,La Palma,US,77.9,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
653,Doha,QA,84.18,clear sky,25.2867,51.5333,Mövenpick Doha
654,Tucupita,VE,77.59,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
655,Badou,TG,73.11,light rain,7.5833,0.6,Hôtel Abuta
657,Daru,PG,79.41,overcast clouds,-9.0763,143.2092,Daru Lodge
659,Bowen,AU,73.54,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
664,Kupang,ID,77.99,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
667,Iralaya,HN,83.82,broken clouds,15.0,-83.2333,Iglesia morava renovada
668,Benguela,AO,74.21,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
672,Axim,GH,77.11,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
675,Sola,VU,79.99,overcast clouds,-13.8833,167.55,Leumerus Bungalows
676,Maumere,ID,79.16,overcast clouds,-8.6199,122.2111,Sylvia Hotel
677,Visakhapatnam,IN,78.69,mist,17.69,83.2093,Best Western Ramachandra Hotel
680,Bull Savanna,JM,81.09,overcast clouds,17.8868,-77.5902,Big Red's
