City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,21,0,12.66,clear sky
80,Angoche,MZ,-16.2325,39.9086,74.62,77,1,11.5,clear sky
81,Markova,UA,48.6758,24.4138,44.73,91,67,3.22,broken clouds
82,Kaihua,CN,23.3687,104.28,52.45,88,52,5.26,broken clouds
83,Sitka,US,57.0531,-135.33,48.09,76,75,5.23,broken clouds
84,Russell,US,32.3502,-85.1999,79.88,22,0,6.91,clear sky
85,Bonthe,SL,7.5264,-12.505,77.83,86,93,4.99,overcast clouds
86,Gat,IL,31.61,34.7642,72.28,100,23,2.75,few clouds
87,Gao,ML,16.6362,1.637,91.31,19,81,2.19,broken clouds
88,Salalah,OM,17.0151,54.0924,75.9,75,9,2.15,clear sky
89,Luderitz,NA,-26.6481,15.1594,65.53,59,100,15.3,overcast clouds
90,Ramgarh,IN,23.6333,85.5167,77.05,77,80,1.7,broken clouds
91,Storforshei,NO,66.4043,14.5233,42.58,81,75,2.3,broken clouds
92,Salisbury,GB,51.0693,-1.7957,51.82,98,75,6.91,broken clouds
93,Atuona,PF,-9.8,-139.0333,77.16,78,18,17.69,light rain
94,Castro,BR,-24.7911,-50.0119,60.13,97,100,5.91,light rain
95,Ornes,NO,66.8689,13.7078,41.31,65,76,9.95,broken clouds
96,Airai,TL,-8.9266,125.4092,59.76,86,80,2.04,broken clouds
97,Cape Town,ZA,-33.9258,18.4232,61.27,77,20,20.71,few clouds
98,Biltine,TD,14.5333,20.9167,85.32,20,16,6.53,few clouds
99,Boundiali,CI,9.5217,-6.4869,73.33,88,57,2.91,light rain
100,Los Algarrobos,PA,8.5,-82.4333,77.41,89,75,10.36,moderate rain
101,New Norfolk,AU,-42.7826,147.0587,51.89,68,100,4.0,overcast clouds
102,Kloulklubed,PW,7.0419,134.2556,75.7,77,100,14.7,moderate rain
103,Bethel,US,41.3712,-73.414,67.01,64,0,1.01,clear sky
104,Beringovskiy,RU,63.05,179.3167,30.07,68,94,2.01,overcast clouds
105,Komsomolskiy,UZ,40.4272,71.7189,56.12,47,53,6.91,broken clouds
106,Andenes,NO,69.3143,16.1194,42.78,65,0,16.11,clear sky
107,Port Alfred,ZA,-33.5906,26.891,62.19,96,100,13.73,light rain
108,Coruripe,BR,-10.1256,-36.1756,74.53,78,71,8.21,broken clouds
109,Isangel,VU,-19.55,169.2667,73.51,68,72,4.61,broken clouds
110,Manggar,ID,-2.8833,108.2667,77.04,87,72,2.26,broken clouds
